,ratio,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,9.280639431616342,1.0,0.7658787541713015,1.0,0.7658787541713015,499,0.0
1,6.190758293838862,1.0,0.7491935483870967,1.0,0.7491935483870967,499,0.5
2,4.640319715808171,1.0,0.7601501668520578,1.0,0.7601501668520578,499,1.0
3,3.093546477205447,1.0,0.8217741935483871,1.0,0.8217741935483871,499,2.0
4,2.3201598579040854,1.0,0.7895161290322581,1.0,0.7895161290322581,499,3.0
5,1.8561278863232682,1.0,0.761012235817575,1.0,0.761012235817575,499,4.0
6,1.5467732386027235,1.0,0.7915461624026696,1.0,0.7915461624026696,499,5.0
7,9.295373665480428,1.0,0.8347676419965577,1.0,0.8347676419965577,0,0.0
8,6.196915776986951,1.0,0.7873398355326067,1.0,0.7873398355326067,0,0.5
9,4.647686832740214,1.0,0.8145917001338688,1.0,0.8145917001338688,0,1.0
10,3.0984578884934755,1.0,0.8718684260852936,1.0,0.8718684260852936,0,2.0
11,2.323843416370107,1.0,0.8446165614840313,1.0,0.8446165614840313,0,3.0
12,1.8590747330960855,1.0,0.8139223560910308,1.0,0.8139223560910307,0,4.0
13,1.5492289442467377,1.0,0.8718684260852936,1.0,0.8718684260852936,0,5.0
14,9.295373665480428,1.0,0.768885064065787,1.0,0.7688850640657869,1,0.0
15,6.196915776986951,1.0,0.8021610250525912,1.0,0.8021610250525913,1,0.5
16,4.647686832740214,1.0,0.8330464716006885,1.0,0.8330464716006885,1,1.0
17,3.0984578884934755,1.0,0.8075157773952956,1.0,0.8075157773952955,1,2.0
18,2.323843416370107,1.0,0.7899215911264104,1.0,0.7899215911264104,1,3.0
19,1.8590747330960855,1.0,0.7547332185886403,1.0,0.7547332185886403,1,4.0
20,1.5492289442467377,1.0,0.7918340026773762,1.0,0.7918340026773762,1,5.0
21,9.295373665480428,1.0,0.7635303117230829,1.0,0.7635303117230828,2,0.0
22,6.196915776986951,1.0,0.7802639127940334,1.0,0.7802639127940333,2,0.5
23,4.647686832740214,1.0,0.7837062535857717,1.0,0.7837062535857717,2,1.0
24,3.0984578884934755,1.0,0.7555938037865748,1.0,0.7555938037865748,2,2.0
25,2.323843416370107,1.0,0.7485178810480015,1.0,0.7485178810480015,2,3.0
26,1.8590747330960855,1.0,0.8096194301013578,1.0,0.8096194301013577,2,4.0
27,1.5492289442467377,1.0,0.7961369286670492,1.0,0.7961369286670492,2,5.0
28,9.295373665480428,1.0,0.7227959456875119,1.0,0.7227959456875119,3,0.0
29,6.196915776986951,1.0,0.761617900172117,1.0,0.7616179001721171,3,0.5
30,4.647686832740214,1.0,0.7731879900554599,1.0,0.7731879900554599,3,1.0
31,3.0984578884934755,1.0,0.7819850831899025,1.0,0.7819850831899025,3,2.0
32,2.323843416370107,1.0,0.7669726525148213,1.0,0.7669726525148213,3,3.0
33,1.8590747330960855,1.0,0.7847580799388028,1.0,0.7847580799388028,3,4.0
34,1.5492289442467377,1.0,0.7581755593803786,1.0,0.7581755593803786,3,5.0
35,9.295373665480428,1.0,0.7519602218397399,1.0,0.7519602218397399,4,0.0
36,6.196915776986951,1.0,0.7195448460508702,1.0,0.7195448460508702,4,0.5
37,4.647686832740214,1.0,0.7395295467584624,1.0,0.7395295467584624,4,1.0
38,3.0984578884934755,1.0,0.7899215911264104,1.0,0.7899215911264104,4,2.0
39,2.323843416370107,1.0,0.7811244979919678,1.0,0.7811244979919678,4,3.0
40,1.8590747330960855,1.0,0.7643908969210174,1.0,0.7643908969210174,4,4.0
41,1.5492289442467377,1.0,0.6877988143048385,1.0,0.6877988143048384,4,5.0
42,9.280639431616342,1.0,0.8036151279199111,1.0,0.8036151279199111,5,0.0
43,6.190758293838862,1.0,0.7742491657397109,1.0,0.7742491657397108,5,0.5
44,4.640319715808171,1.0,0.7509176863181313,1.0,0.7509176863181313,5,1.0
45,3.093546477205447,1.0,0.7589822024471635,1.0,0.7589822024471635,5,2.0
46,2.3201598579040854,1.0,0.7866240266963292,1.0,0.7866240266963292,5,3.0
47,1.8561278863232682,1.0,0.7711067853170189,1.0,0.7711067853170189,5,4.0
