,ratio,auc_train_score,auc_test_score,bacc_train_score,bacc_test_score,cv_idx,smote__sampling_strategy
0,774.0005457123584,1.0,0.7658787541713015,1.0,0.7658787541713015,499,0.0
1,774.0005457123584,1.0,0.7491935483870967,1.0,0.7491935483870967,499,0.5
2,774.0005457123584,1.0,0.7601501668520578,1.0,0.7601501668520578,499,1.0
3,774.0005457123584,1.0,0.8217741935483871,1.0,0.8217741935483871,499,2.0
4,774.0005457123584,1.0,0.7895161290322581,1.0,0.7895161290322581,499,3.0
5,774.0005457123584,1.0,0.761012235817575,1.0,0.761012235817575,499,4.0
6,774.0005457123584,1.0,0.7915461624026696,1.0,0.7915461624026696,499,5.0
7,774.0005457123584,1.0,0.8347676419965577,1.0,0.8347676419965577,0,0.0
8,774.0005457123584,1.0,0.7873398355326067,1.0,0.7873398355326067,0,0.5
9,774.0005457123584,1.0,0.8145917001338688,1.0,0.8145917001338688,0,1.0
10,774.0005457123584,1.0,0.8718684260852936,1.0,0.8718684260852936,0,2.0
11,774.0005457123584,1.0,0.8446165614840313,1.0,0.8446165614840313,0,3.0
12,774.0005457123584,1.0,0.8139223560910308,1.0,0.8139223560910307,0,4.0
13,774.0005457123584,1.0,0.8718684260852936,1.0,0.8718684260852936,0,5.0
14,774.0005457123584,1.0,0.768885064065787,1.0,0.7688850640657869,1,0.0
15,774.0005457123584,1.0,0.8021610250525912,1.0,0.8021610250525913,1,0.5
16,774.0005457123584,1.0,0.8330464716006885,1.0,0.8330464716006885,1,1.0
17,774.0005457123584,1.0,0.8075157773952956,1.0,0.8075157773952955,1,2.0
18,774.0005457123584,1.0,0.7899215911264104,1.0,0.7899215911264104,1,3.0
19,774.0005457123584,1.0,0.7547332185886403,1.0,0.7547332185886403,1,4.0
20,774.0005457123584,1.0,0.7918340026773762,1.0,0.7918340026773762,1,5.0
21,774.0005457123584,1.0,0.7635303117230829,1.0,0.7635303117230828,2,0.0
22,774.0005457123584,1.0,0.7802639127940334,1.0,0.7802639127940333,2,0.5
23,774.0005457123584,1.0,0.7837062535857717,1.0,0.7837062535857717,2,1.0
24,774.0005457123584,1.0,0.7555938037865748,1.0,0.7555938037865748,2,2.0
25,774.0005457123584,1.0,0.7485178810480015,1.0,0.7485178810480015,2,3.0
26,774.0005457123584,1.0,0.8096194301013578,1.0,0.8096194301013577,2,4.0
27,774.0005457123584,1.0,0.7961369286670492,1.0,0.7961369286670492,2,5.0
28,774.0005457123584,1.0,0.7227959456875119,1.0,0.7227959456875119,3,0.0
29,774.0005457123584,1.0,0.761617900172117,1.0,0.7616179001721171,3,0.5
30,774.0005457123584,1.0,0.7731879900554599,1.0,0.7731879900554599,3,1.0
31,774.0005457123584,1.0,0.7819850831899025,1.0,0.7819850831899025,3,2.0
32,774.0005457123584,1.0,0.7669726525148213,1.0,0.7669726525148213,3,3.0
33,774.0005457123584,1.0,0.7847580799388028,1.0,0.7847580799388028,3,4.0
34,774.0005457123584,1.0,0.7581755593803786,1.0,0.7581755593803786,3,5.0
35,774.0005457123584,1.0,0.7519602218397399,1.0,0.7519602218397399,4,0.0
36,774.0005457123584,1.0,0.7195448460508702,1.0,0.7195448460508702,4,0.5
37,774.0005457123584,1.0,0.7395295467584624,1.0,0.7395295467584624,4,1.0
38,774.0005457123584,1.0,0.7899215911264104,1.0,0.7899215911264104,4,2.0
39,774.0005457123584,1.0,0.7811244979919678,1.0,0.7811244979919678,4,3.0
40,774.0005457123584,1.0,0.7643908969210174,1.0,0.7643908969210174,4,4.0
41,774.0005457123584,1.0,0.6877988143048385,1.0,0.6877988143048384,4,5.0
42,774.0005457123584,1.0,0.8036151279199111,1.0,0.8036151279199111,5,0.0
43,774.0005457123584,1.0,0.7742491657397109,1.0,0.7742491657397108,5,0.5
44,774.0005457123584,1.0,0.7509176863181313,1.0,0.7509176863181313,5,1.0
45,774.0005457123584,1.0,0.7589822024471635,1.0,0.7589822024471635,5,2.0
46,774.0005457123584,1.0,0.7866240266963292,1.0,0.7866240266963292,5,3.0
47,774.0005457123584,1.0,0.7711067853170189,1.0,0.7711067853170189,5,4.0
48,774.0005457123584,1.0,0.7708008898776418,1.0,0.7708008898776418,5,5.0
49,774.0005457123584,1.0,0.732202447163515,1.0,0.732202447163515,6,0.0
50,774.0005457123584,1.0,0.7440211345939933,1.0,0.7440211345939933,6,0.5
51,774.0005457123584,1.0,0.7350945494994439,1.0,0.7350945494994439,6,1.0
52,774.0005457123584,1.0,0.7146551724137931,1.0,0.7146551724137931,6,2.0
53,774.0005457123584,1.0,0.7486373748609566,1.0,0.7486373748609567,6,3.0
54,774.0005457123584,1.0,0.7486373748609566,1.0,0.7486373748609567,6,4.0
55,774.0005457123584,1.0,0.8079810901001113,1.0,0.8079810901001112,6,5.0
56,774.0005457123584,1.0,0.7615684093437152,1.0,0.7615684093437153,7,0.0
57,774.0005457123584,1.0,0.7543659621802001,1.0,0.7543659621802001,7,0.5
58,774.0005457123584,1.0,0.7661846496106786,1.0,0.7661846496106786,7,1.0
59,774.0005457123584,1.0,0.7543659621802001,1.0,0.7543659621802001,7,2.0
60,774.0005457123584,1.0,0.7509176863181313,1.0,0.7509176863181313,7,3.0
61,774.0005457123584,1.0,0.7512235817575083,1.0,0.7512235817575084,7,4.0
62,774.0005457123584,1.0,0.7886540600667409,1.0,0.7886540600667409,7,5.0
63,774.0005457123584,1.0,0.6878754171301447,1.0,0.6878754171301446,8,0.0
64,774.0005457123584,1.0,0.7520856507230256,1.0,0.7520856507230256,8,0.5
